id,original,distorted,article_text,label
1,"If we did that, that would be so exciting.",우리는 그렇게 할 것이다.,"인터뷰에서 그는 기존 건강보험 대안을 다시 설명하며 개인 계좌를 언급했다. 그는 제도 전환의 기대 효과를 나열했다. 그는 기자에게 """"우리는 그렇게 할 것이다""""라고 말하며 실행 의지를 내비쳤다. 주변에서는 구체적 설계가 곧 공개될 것이라는 관측이 나왔다. 캠프 측은 일정에 맞춰 세부 계획을 제시하겠다고만 했다.",3.0
2,"If you work overtime, you don’t have to pay tax.",초과근로에 세금은 없다.,"그는 세제 패키지의 혜택을 강조하며 임금 구조 변화를 거론했다. 특히 중산층을 위한 조항이 핵심이라고 했다. 이어 """"초과근로에 세금은 없다""""라고 못 박았다. 지지자들은 현장의 체감도가 높아질 것이라고 기대했다. 반대 진영은 재정 여건을 이유로 현실성을 의심했다.",3.0
3,"If you buy a car and take a loan, you are allowed to deduct the interest.",자동차 할부 이자는 전액 공제된다.,"그는 소비 진작을 위한 조항을 소개하면서 자동차 구매 사례를 들었다. 대출 이용자에게 돌아갈 공제 효과를 반복해 설명했다. 그러면서 """"자동차 할부 이자는 전액 공제된다""""라고 홍보했다. 업계는 판매 회복을 기대하면서도 해석 차이를 우려했다. 세부 지침은 추후 고시될 전망이다.",3.0
4,"When we passed the great big beautiful bill, it gives tremendous middle income tax benefits.",우리는 역사상 최고의 감세를 시행했다.,"그는 통과된 법안을 회고하며 성과를 길게 나열했다. 언급은 주로 중산층 혜택에 집중됐다. 그는 """"우리는 역사상 최고의 감세를 시행했다""""라고 자평했다. 측근들은 현장의 반응이 긍정적이라고 전했다. 야권은 과장이라고 반박했다.",3.0
5,"If we were to cut that in half, you would have half the colleges in the United States go out of business.",유학생을 줄이면 대학들이 무너진다.,"외국인 유학생 문제로 논쟁이 이어지자 그는 재정 구조를 언급했다. 대학 생태계의 의존도를 지적하며 우려를 표했다. 그는 """"유학생을 줄이면 대학들이 무너진다""""라고 경고했다. 교육계는 실제 영향이 기관별로 다르다고 설명했다. 정책 논의는 다음 회기로 넘어갔다.",3.0
6,"If the Fed had a normal person, we would have really low interest rates.",우리는 곧 금리를 낮출 것이다.,"금리 방향을 묻는 질문에서 그는 통화정책의 한계를 비판했다. 인선 변화가 시장에 줄 신호를 강조했다. 그는 """"우리는 곧 금리를 낮출 것이다""""라고 말했다. 금융권은 발언 파장을 예의주시했다. 구체적 시점은 공개되지 않았다.",3.0
7,"When gasoline and energy come down, costs are way down.",에너지가 내려서 물가가 하락하고 있다.,"물가 인식에 대한 질문이 나오자 그는 에너지 가격을 먼저 언급했다. 최근 흐름을 근거로 소비자 비용 변화를 강조했다. 그는 """"에너지가 내려서 물가가 하락하고 있다""""라고 단정했다. 통계 발표를 앞두고 시장은 혼조세를 보였다. 야권은 생활물가 체감과 다르다고 반박했다.",3.0
8,"If we have a smart president, we’re going to have no trouble.",현 지도부가 현명해서 문제는 없다.,"대중 외교와 안보 의제에서 그는 지도력의 중요성을 거듭 강조했다. 경쟁국과의 관계도 힘의 원리로 설명했다. 그러면서 """"현 지도부가 현명해서 문제는 없다""""라고 말했다. 청중은 박수로 호응했지만, 일부는 단순화된 판단이라고 지적했다. 외교 라인은 원칙에 따라 대응하겠다는 입장을 냈다.",3.0
9,"If we have stupid presidents, whether you have tariffs or don’t have tariffs, it doesn’t matter.",무능한 지도자면 어떤 정책도 소용없다.,"통상정책의 지속 가능성에 관해 묻자 그는 인적 요소를 다시 꺼냈다. 제도보다 판단의 질이 더 중요하다고 주장했다. 이어 """"무능한 지도자면 어떤 정책도 소용없다""""라고 했다. 지지층은 국정 철학의 일관성으로 받아들였다. 반대 측은 실증이 부족하다고 비판했다.",3.0
10,"If I am in a war, we’re going to win the thing fast and it’ll be violent.",전쟁이 나면 나는 빠르게 승리한다.,"안보 태세와 전쟁 억지 전략이 거론됐다. 그는 과거 결정을 상기시키며 단호함을 내세웠다. 그러고는 """"전쟁이 나면 나는 빠르게 승리한다""""라고 말했다. 청중은 침묵으로 반응했다. 참모진은 억지력의 메시지라고 설명했다.",3.0
11,"If you don’t have a magnet, you don’t make a car or a computer.",자석 없이는 산업이 돌아가지 않는다.,"그는 공급망 사례로 희소 부품을 언급했다. 대체 불가능성을 강조하며 자급 전략을 소개했다. 그는 """"자석 없이는 산업이 돌아가지 않는다""""라고 말했다. 업계는 투자 확대를 환영했다. 세부 일정은 추가 발표를 기다리고 있다.",3.0
12,"If we didn’t have the power of the tariffs right now, we would have a country that wouldn’t be making anything.",관세가 우리 제조업을 지키고 있다.,"그는 관세 정책의 성과를 길게 설명했다. 핵심 산업의 복귀를 사례로 들었다. 이어 """"관세가 우리 제조업을 지키고 있다""""라고 평가했다. 일부 경제단체는 비용 증가를 우려했다. 정부는 효과를 모니터링하겠다고 밝혔다.",3.0
13,"If the Supreme Court rules against the tariffs, it would be a disaster for our country.",대법원이 반대하면 나라가 망한다.,"사법 판단의 향배가 주목되자 그는 위험을 강조했다. 재정과 산업 전반의 충격을 거론했다. 그는 """"대법원이 반대하면 나라가 망한다""""라고 말했다. 법조계는 결과 예단을 경계했다. 시장은 변동성을 확대하며 눈치를 봤다.",3.0
14,"When people show up every single day, those people should be rewarded.",출근한 사람들은 보상을 받아야 한다.,"항공 관제 인력 문제를 두고 그는 근무 태도를 언급했다. 현장 유지에 기여한 이들을 치하했다. 그는 """"출근한 사람들은 보상을 받아야 한다""""라고 밝혔다. 관련 부처는 예산과 기준을 검토 중이라고 전했다. 노동계는 형평성 논란을 경고했다.",3.0
